1,6,732-11324-1-ND,6.86108E+11,CONN FFC TOP 8POS 1MM R/A,hmp49,6,0,1.66,9.96
2,50,13-RC1206JR-1310KLCT-ND,RC1206JR-1310KL,RES 10K OHM 5% 1/4W 1206,hmp49,50,0,0.0226,1.13
3,10,RHM390AICT-ND,KTR18EZPF3900,RES SMD 390 OHM 1% 1/4W 1206,hmp49,10,0,0.112,1.12
4,3,732-691210910003-ND,6.91211E+11,"2.54 MM TERMINAL BLOCK, HORIZONT",hmp49,3,0,1.55,4.65
5,18,732-11323-1-ND,6.86106E+11,CONN FFC TOP 6POS 1MM R/A,hmp49,18,0,1.123,20.21
6,3,732-691210910006-ND,6.91211E+11,TERM BLOCK 6P HORIZON 2.54MM PCB,hmp49,3,0,2.93,8.79
7,3,P12955SCT-ND,EVQ-Q2U03W,SWITCH TACTILE SPST-NO 0.02A 15V,hmp49,3,0,0.28,0.84
8,3,WM14606-ND,449140601,CONN HEADER VERT 6POS 3MM,hmp49,3,0,2.7,8.1
9,100,754-1434-1-ND,APT1608QBC/D,LED BLUE CLEAR CHIP SMD,hmp49,100,0,0.151,15.1
10,10,RHM1.0KPCT-ND,KTR18EZPJ102,RES SMD 1K OHM 5% 1/4W 1206,hmp49,10,0,0.086,0.86
11,3,563-1023-1-ND,CJS-1201TA,SWITCH SLIDE SPDT 100MA 6V,hmp49,3,0,1.21,3.63
12,3,679-1921-ND,PT65121,SWITCH ROTARY DIP SP4T 0.15A 24V,hmp49,3,0,8.78,26.34
13,50,732-5315-ND,61300211121,CONN HEADER VERT 2POS 2.54MM,hmp49,50,0,0.079,3.95
14,50,732-5316-ND,61300311121,CONN HEADER VERT 3POS 2.54MM,hmp49,50,0,0.079,3.95
15,4,277-1630-ND,1985276,TERM BLOCK 10POS 45DEG 3.5MM PCB,hmp49,4,0,1.62,6.48
16,10,311-10.0KFRCT-ND,RC1206FR-0710KL,RES 10K OHM 1% 1/4W 1206,hmp49,10,0,0.038,0.38
17,10,732-7862-1-ND,8.85012E+11,CAP CER 22PF 10V C0G/NP0 1206,hmp49,10,0,0.103,1.03
18,10,PCE5154CT-ND,EEE-FK1H100SR,CAP ALUM 10UF 20% 50V SMD,hmp49,10,0,0.334,3.34
19,25,311-1435-1-ND,CC1206JRX7R9BB104,CAP CER 0.1UF 50V X7R 1206,hmp49,25,0,0.148,3.7
20,5,311-1196-1-ND,CC1206ZKY5V7BB335,CAP CER 3.3UF 16V Y5V 1206,hmp49,5,0,0.33,1.65
21,5,1N4148WS-E3-08CT-ND,1N4148WS-E3-08,DIODE GEN PURP 75V 150MA SOD323,hmp49,5,0,0.23,1.15
22,6,732-691210910008-ND,6.91211E+11,TERM BLOCK 8P HORIZON 2.54MM PCB,hmp49,6,0,3.93,23.58
23,6,732-691210910002-ND,6.91211E+11,TERM BLOCK 2P HORIZON 2.54MM PCB,hmp49,6,0,1.14,6.84
24,5,732-5317-ND,61300411121,CONN HEADER VERT 4POS 2.54MM,hmp49,5,0,0.19,0.95
25,5,MMBTA42LT1GOSCT-ND,MMBTA42LT1G,TRANS NPN 300V 0.5A SOT23-3,hmp49,5,0,0.2,1
26,10,13-RC1206JR-10220RLCT-ND,RC1206JR-10220RL,RES 220 OHM 5% 1/4W 1206,hmp49,10,0,0.035,0.35
27,10,YAG5062CT-ND,RT1206BRD072KL,RES SMD 2K OHM 0.1% 1/4W 1206,hmp49,10,0,0.241,2.41
28,15,CR1206-J/-000ELFCT-ND,CR1206-J/-000ELF,RES SMD 0 OHM JUMPER 1/4W 1206,hmp49,15,0,0.035,0.53
29,5,YAG2054CT-ND,RT1206BRD074K7L,RES SMD 4.7K OHM 0.1% 1/4W 1206,hmp49,5,0,0.33,1.65
30,3,401-2016-1-ND,PCM12SMTR,SWITCH SLIDE SPDT 300MA 6V,hmp49,3,0,1.06,3.18
31,5,ATMEGA328PB-AN-ND,ATMEGA328PB-AN,IC MCU 8BIT 32KB FLASH 32TQFP,hmp49,5,0,1.65,8.25
32,3,296-44518-1-ND,LM7805MPX/NOPB,IC REG LINEAR 5V 1.5A SOT223-4,hmp49,3,0,1.61,4.83
33,3,296-47853-1-ND,TLV76033DBZR,IC REG LINEAR 3.3V 100MA SOT23-3,hmp49,3,0,0.41,1.23
34,5,535-10638-1-ND,ABM3-16.000MHZ-D2Y-T,CRYSTAL 16.0000MHZ 18PF SMD,hmp49,5,0,0.58,2.9
35,10,732-3600-ND,6.86606E+11,"CABLE FFC/FPC 6POS 1MM 7.87""",hmp49,10,0,3.22,32.2
36,3,732-3601-ND,6.86608E+11,"CABLE FFC/FPC 8POS 1MM 7.87""",hmp49,3,0,3.28,9.84
37,25,SW1138-ND,B32-1600,CAP TACTILE ROUND IVORY,hmp49,25,0,0.502,12.55
38,25,SW848-ND,B32-1630,CAP TACTILE ROUND YELLOW,hmp49,25,0,0.502,12.55
39,3,1528-1594-ND,2868,ADDRESS LED MODULE SERIAL RGBW,hmp49,3,0,7.95,23.85
40,1,1738-1041-ND,DFR0299,DFPLAYER - A MINI MP3 PLAYER,hmp49,1,0,5.9,5.9
41,3,2223-CDS-4410-54SP-ND,CDS-4410-54SP,"SPEAKER, 45 MM, 10 MM DEEP, PU+P",hmp49,3,0,6.66,19.98
42,2,1568-1512-ND,PRT-12795,"JUMPER WIRE M/M 6"" 20PCS",hmp49,2,0,2.1,4.2
